"Time [ms]","Size [B]","Used [B]"
"4:54:38.638 PM, Apr 23, 2015","8,589,934,592","2,788,516,696"
"4:54:39.618 PM, Apr 23, 2015","8,589,934,592","2,793,891,824"
"4:54:40.714 PM, Apr 23, 2015","8,589,934,592","2,813,620,472"
"4:54:41.619 PM, Apr 23, 2015","8,589,934,592","2,818,421,616"
"4:54:42.623 PM, Apr 23, 2015","8,589,934,592","2,818,427,880"
"4:54:43.626 PM, Apr 23, 2015","8,589,934,592","2,818,432,056"
"4:54:44.627 PM, Apr 23, 2015","8,589,934,592","2,818,438,320"
"4:54:45.631 PM, Apr 23, 2015","8,589,934,592","2,818,442,496"
"4:54:46.637 PM, Apr 23, 2015","8,589,934,592","2,818,448,736"
"4:54:47.640 PM, Apr 23, 2015","8,589,934,592","2,818,457,064"
"4:54:48.641 PM, Apr 23, 2015","8,589,934,592","2,818,461,240"
"4:54:49.642 PM, Apr 23, 2015","8,589,934,592","2,823,264,488"
"4:54:50.645 PM, Apr 23, 2015","8,589,934,592","2,835,121,856"
"4:54:51.644 PM, Apr 23, 2015","8,589,934,592","2,941,709,696"
"4:54:52.647 PM, Apr 23, 2015","8,589,934,592","2,956,314,696"
"4:54:53.708 PM, Apr 23, 2015","8,589,934,592","4,005,422,680"
"4:54:54.654 PM, Apr 23, 2015","8,589,934,592","3,163,436,688"
"4:54:55.655 PM, Apr 23, 2015","8,589,934,592","4,117,929,744"
"4:54:56.660 PM, Apr 23, 2015","8,589,934,592","5,035,359,648"
"4:54:57.661 PM, Apr 23, 2015","8,589,934,592","4,265,623,528"
"4:54:58.665 PM, Apr 23, 2015","8,589,934,592","823,758,832"
"4:54:59.668 PM, Apr 23, 2015","8,589,934,592","2,805,139,384"
"4:55:00.672 PM, Apr 23, 2015","8,589,934,592","2,807,640,496"
"4:55:01.675 PM, Apr 23, 2015","8,589,934,592","2,820,532,928"
"4:55:02.678 PM, Apr 23, 2015","8,589,934,592","2,827,138,624"
"4:55:03.679 PM, Apr 23, 2015","8,589,934,592","2,827,142,800"
"4:55:04.684 PM, Apr 23, 2015","8,589,934,592","2,827,146,976"
"4:55:05.686 PM, Apr 23, 2015","8,589,934,592","2,827,153,240"
"4:55:06.688 PM, Apr 23, 2015","8,589,934,592","2,827,157,416"
"4:55:07.689 PM, Apr 23, 2015","8,589,934,592","2,827,163,656"
"4:55:08.691 PM, Apr 23, 2015","8,589,934,592","2,835,086,608"
"4:55:09.695 PM, Apr 23, 2015","8,589,934,592","2,841,066,360"
"4:55:10.697 PM, Apr 23, 2015","8,589,934,592","2,859,183,936"
"4:55:11.702 PM, Apr 23, 2015","8,589,934,592","2,864,757,992"
"4:55:12.706 PM, Apr 23, 2015","8,589,934,592","2,882,891,208"
"4:55:13.705 PM, Apr 23, 2015","8,589,934,592","2,586,607,584"
"4:55:14.707 PM, Apr 23, 2015","8,589,934,592","4,926,938,632"
"4:55:15.708 PM, Apr 23, 2015","8,589,934,592","4,896,982,472"
"4:55:16.709 PM, Apr 23, 2015","8,589,934,592","4,683,128,608"
"4:55:17.713 PM, Apr 23, 2015","8,589,934,592","4,329,977,552"
"4:55:18.716 PM, Apr 23, 2015","8,589,934,592","679,448,888"
"4:55:19.720 PM, Apr 23, 2015","8,589,934,592","726,889,952"
"4:55:20.731 PM, Apr 23, 2015","8,589,934,592","2,818,031,048"
"4:55:21.724 PM, Apr 23, 2015","8,589,934,592","2,822,795,808"
"4:55:22.726 PM, Apr 23, 2015","8,589,934,592","2,828,072,480"
"4:55:23.730 PM, Apr 23, 2015","8,589,934,592","2,828,078,744"
"4:55:24.734 PM, Apr 23, 2015","8,589,934,592","2,828,082,920"
"4:55:25.736 PM, Apr 23, 2015","8,589,934,592","2,828,089,184"
"4:55:26.737 PM, Apr 23, 2015","8,589,934,592","2,828,093,360"
"4:55:27.738 PM, Apr 23, 2015","8,589,934,592","2,828,099,600"
"4:55:28.742 PM, Apr 23, 2015","8,589,934,592","2,828,105,864"
"4:55:29.743 PM, Apr 23, 2015","8,589,934,592","2,828,112,104"
"4:55:30.744 PM, Apr 23, 2015","8,589,934,592","2,834,801,048"
"4:55:31.748 PM, Apr 23, 2015","8,589,934,592","2,850,404,320"
"4:55:32.749 PM, Apr 23, 2015","8,589,934,592","2,869,286,256"
"4:55:33.752 PM, Apr 23, 2015","8,589,934,592","2,876,842,384"
"4:55:34.756 PM, Apr 23, 2015","8,589,934,592","3,135,630,152"
"4:55:35.758 PM, Apr 23, 2015","8,589,934,592","4,313,974,336"
"4:55:36.762 PM, Apr 23, 2015","8,589,934,592","4,833,451,936"
"4:55:37.767 PM, Apr 23, 2015","8,589,934,592","4,503,252,440"
"4:55:38.767 PM, Apr 23, 2015","8,589,934,592","4,912,603,080"
"4:55:39.768 PM, Apr 23, 2015","8,589,934,592","795,468,736"
"4:55:40.807 PM, Apr 23, 2015","8,589,934,592","2,797,968,384"
"4:55:41.769 PM, Apr 23, 2015","8,589,934,592","2,797,982,880"
"4:55:42.773 PM, Apr 23, 2015","8,589,934,592","2,803,629,224"
"4:55:43.790 PM, Apr 23, 2015","8,589,934,592","2,810,098,664"
"4:55:44.775 PM, Apr 23, 2015","8,589,934,592","2,810,102,840"
"4:55:45.780 PM, Apr 23, 2015","8,589,934,592","2,810,109,104"
"4:55:46.783 PM, Apr 23, 2015","8,589,934,592","2,810,113,280"
"4:55:47.785 PM, Apr 23, 2015","8,589,934,592","2,810,117,456"
"4:55:48.786 PM, Apr 23, 2015","8,589,934,592","2,810,123,720"
"4:55:49.790 PM, Apr 23, 2015","8,589,934,592","2,810,129,960"
"4:55:50.792 PM, Apr 23, 2015","8,589,934,592","2,817,260,048"
"4:55:51.796 PM, Apr 23, 2015","8,589,934,592","2,879,543,400"
"4:55:52.797 PM, Apr 23, 2015","8,589,934,592","2,903,673,144"
"4:55:53.800 PM, Apr 23, 2015","8,589,934,592","2,920,898,688"
"4:55:54.801 PM, Apr 23, 2015","8,589,934,592","2,819,214,784"
"4:55:55.805 PM, Apr 23, 2015","8,589,934,592","4,659,278,832"
"4:55:56.805 PM, Apr 23, 2015","8,589,934,592","4,244,583,800"
"4:55:57.808 PM, Apr 23, 2015","8,589,934,592","4,879,238,224"
"4:55:58.825 PM, Apr 23, 2015","8,589,934,592","747,311,480"
"4:55:59.810 PM, Apr 23, 2015","8,589,934,592","924,592,384"
"4:56:00.874 PM, Apr 23, 2015","8,589,934,592","2,797,597,856"
"4:56:01.815 PM, Apr 23, 2015","8,589,934,592","2,802,284,736"
"4:56:02.816 PM, Apr 23, 2015","8,589,934,592","2,802,289,472"
"4:56:03.817 PM, Apr 23, 2015","8,589,934,592","2,809,888,960"
"4:56:04.817 PM, Apr 23, 2015","8,589,934,592","2,809,893,696"
"4:56:05.822 PM, Apr 23, 2015","8,589,934,592","2,809,898,432"
"4:56:06.823 PM, Apr 23, 2015","8,589,934,592","2,809,907,320"
"4:56:07.828 PM, Apr 23, 2015","8,589,934,592","2,809,912,056"
"4:56:08.831 PM, Apr 23, 2015","8,589,934,592","2,809,918,880"
"4:56:09.836 PM, Apr 23, 2015","8,589,934,592","2,809,925,648"
"4:56:10.839 PM, Apr 23, 2015","8,589,934,592","2,829,937,088"
"4:56:11.842 PM, Apr 23, 2015","8,589,934,592","2,852,455,768"
"4:56:12.842 PM, Apr 23, 2015","8,589,934,592","2,869,343,808"
"4:56:13.901 PM, Apr 23, 2015","8,589,934,592","4,233,156,680"
"4:56:14.844 PM, Apr 23, 2015","8,589,934,592","3,321,741,256"
"4:56:15.844 PM, Apr 23, 2015","8,589,934,592","4,544,693,696"
"4:56:16.850 PM, Apr 23, 2015","8,589,934,592","4,858,622,704"
"4:56:17.849 PM, Apr 23, 2015","8,589,934,592","4,039,999,776"
"4:56:18.850 PM, Apr 23, 2015","8,589,934,592","706,489,752"
"4:56:19.855 PM, Apr 23, 2015","8,589,934,592","2,818,497,328"
"4:56:20.855 PM, Apr 23, 2015","8,589,934,592","2,818,843,728"
"4:56:21.872 PM, Apr 23, 2015","8,589,934,592","2,823,243,592"
"4:56:22.860 PM, Apr 23, 2015","8,589,934,592","2,823,247,768"
"4:56:23.861 PM, Apr 23, 2015","8,589,934,592","2,823,251,944"
"4:56:24.864 PM, Apr 23, 2015","8,589,934,592","2,823,260,272"
"4:56:25.868 PM, Apr 23, 2015","8,589,934,592","2,823,264,448"
"4:56:26.871 PM, Apr 23, 2015","8,589,934,592","2,823,270,712"
"4:56:27.875 PM, Apr 23, 2015","8,589,934,592","2,823,274,888"
"4:56:28.880 PM, Apr 23, 2015","8,589,934,592","2,823,281,128"
"4:56:29.881 PM, Apr 23, 2015","8,589,934,592","2,834,676,576"
"4:56:30.882 PM, Apr 23, 2015","8,589,934,592","2,849,668,328"
"4:56:31.887 PM, Apr 23, 2015","8,589,934,592","2,870,792,984"
"4:56:32.892 PM, Apr 23, 2015","8,589,934,592","2,881,812,808"
"4:56:33.893 PM, Apr 23, 2015","8,589,934,592","3,430,916,816"
"4:56:34.895 PM, Apr 23, 2015","8,589,934,592","4,217,296,016"
"4:56:35.899 PM, Apr 23, 2015","8,589,934,592","5,006,375,840"
"4:56:36.903 PM, Apr 23, 2015","8,589,934,592","4,751,075,960"
"4:56:37.904 PM, Apr 23, 2015","8,589,934,592","4,751,075,960"
"4:56:38.905 PM, Apr 23, 2015","8,589,934,592","4,751,075,960"
